City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Damavand,IR,75.04,clear sky,35.7178,52.065,???????? ???????
470,Naifaru,MV,81.73,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
471,Surt,LY,78.76,clear sky,31.2089,16.5887,?????? ???????? ???
475,Tabas,IR,88.12,clear sky,33.5959,56.9244,???? ?????? ????? ?????? ????
477,Hamilton,US,83.25,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
478,Kaspiyskiy,RU,77.04,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
482,Tallahassee,US,87.53,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
483,Naples,IT,76.77,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
485,Terney,RU,80.53,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
486,Bariri,BR,77.25,clear sky,-22.0744,-48.7403,San Francisco Hotel
490,Thap Than,TH,76.21,light rain,15.4606,99.8917,????????? ?????
495,Mitsamiouli,KM,75.15,light rain,-11.3847,43.2844,Foyer ADM
497,Puerto Carreno,CO,75.69,light rain,6.189,-67.4859,Casa Hotel Victoria
498,Rong Kwang,TH,76.48,overcast clouds,18.339,100.3174,Rong Kwang Hotel
501,Labuhan,ID,78.24,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
502,Ambulu,ID,76.37,clear sky,-8.345,113.6058,Hotel Ambulu Jember
503,Alta Floresta,BR,75.56,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
506,Puri,IN,86.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
507,Celestun,MX,81.61,broken clouds,20.8667,-90.4,Posada Lilia
509,Tuy Hoa,VN,86.18,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
514,Ajdabiya,LY,76.68,clear sky,30.7554,20.2263,Almadina Hotel
516,Zhezkazgan,KZ,82.67,clear sky,47.8043,67.7144,Hotel Zumrat
518,Gazojak,TM,88.25,clear sky,41.1875,61.4036,In gowy adamlaryñ ya?ayan oyi
520,Sur,OM,88.54,broken clouds,22.5667,59.5289,Sur Plaza Hotel
522,Luganville,VU,81.63,broken clouds,-15.5333,167.1667,The Espiritu Hotel
524,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
526,Korla,CN,87.01,clear sky,41.7597,86.1469,Gulisitan Hotel
527,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN ???? ?????
529,Alghero,IT,78.66,broken clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
530,Bontang,ID,80.89,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
533,Vrangel,RU,77.99,broken clouds,42.7297,133.0839,"????? ""????"""
536,Limot,PH,84.06,broken clouds,7.0405,126.2727,Buso Hot Spring
540,Glenwood Springs,US,85.01,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
541,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
542,Boyolangu,ID,76.75,scattered clouds,-8.1181,111.8935,Yos ega cv
545,Isla Vista,US,85.68,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
546,Tual,ID,80.26,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
547,Mana,GF,77.13,overcast clouds,5.6592,-53.7767,LE SAMANA
549,Clifton,US,77.63,few clouds,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
554,Robat Karim,IR,85.86,clear sky,35.4846,51.0829,????? ????? ?????
556,Cobija,BO,75.69,clear sky,-11.0267,-68.7692,Hotel Obelisco
561,Tayu,ID,78.94,clear sky,-6.5397,111.0518,Toko pakaian bu is Tayu
566,Mandal,IN,79.77,overcast clouds,25.45,74.5667,???? ???? ?????? ??
572,Grosseto,IT,78.67,clear sky,42.8333,11.25,Almatoscana
576,Salinopolis,BR,76.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
579,Santa Marta,CO,76.98,broken clouds,11.2408,-74.199,Casa de Isabella
581,Narasannapeta,IN,82.6,overcast clouds,18.4167,84.05,G.lingaraju home
589,Upanema,BR,77.54,clear sky,-5.6419,-37.2578,Hotel Central de Upanema
590,Drumheller,CA,85.86,clear sky,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
592,Zhangjiakou,CN,77.05,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
593,Barao De Melgaco,BR,84.72,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
595,Jacareacanga,BR,77.16,few clouds,-6.2222,-57.7528,Casa do Ian?
603,Chateaubelair,VC,79.41,overcast clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
610,Port Dickson,MY,82.62,overcast clouds,2.5228,101.7959,Glory Beach Resort
611,Pulandian,CN,86.13,clear sky,39.3953,121.9669,HR East Hotel
612,Kakrala,IN,84.36,clear sky,27.9,79.2,PigLand
616,Sibolga,ID,79.99,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
617,Hohhot,CN,75.49,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
622,Gizo,SB,83.01,light rain,-8.103,156.8419,Imagination Island
624,Qinhuangdao,CN,81.99,light rain,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
627,Salalah,OM,77.09,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
632,Russell,US,87.4,broken clouds,32.3502,-85.1999,Macs
635,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
637,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
639,Porto Novo,BJ,78.62,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
641,Marietta,US,85.78,broken clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
643,Tomari,RU,77.74,overcast clouds,47.7658,142.0683,Vostochnaya
645,Kyaukse,MM,80.6,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
646,Laramie,US,78.73,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
650,Fairhope,US,85.75,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
651,Hojai,IN,81.34,overcast clouds,26,92.8667,Luxury park hotel
652,Ateli,IN,85.19,clear sky,28.1,76.2833,Priyanshu house
659,Belmopan,BZ,86.38,overcast clouds,17.25,-88.7667,Villa San Juan
660,Prabumulih,ID,78.26,clear sky,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
665,Magdalena,PH,80.4,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
674,Biak,ID,79.48,broken clouds,-0.9131,122.8766,Penginapan Kim
682,Isla Mujeres,MX,84.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
684,Bambanglipuro,ID,79.25,scattered clouds,-7.95,110.2833,Puri Brata
687,Baloda Bazar,IN,76.66,overcast clouds,21.6667,82.1667,STARiHOTELS Baloda Bazaar
688,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
691,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
696,Lipari,IT,78.94,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
697,Mecca,SA,86.36,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
702,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
704,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
706,San Jose De Ocoa,DO,76.68,overcast clouds,18.55,-70.5,Hotel El Barcon
708,Dryden,CA,77.29,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
709,Sioux Lookout,CA,77.38,smoke,50.1001,-91.917,Knobby's Fly-In Camps
